flow_id,src_ip,src_port,dst_ip,dst_port,protocol,packet_count,bytes_total,bytes_mean,bytes_std,bytes_min,bytes_max,iat_mean,iat_std,iat_min,iat_max,first_seen,last_seen,duration,tcp_fin_count,tcp_syn_count,tcp_rst_count,tcp_psh_count,tcp_ack_count,tcp_urg_count,tcp_ece_count,tcp_cwr_count
127.0.0.1-106-127.0.0.1-46688-tcp,127.0.0.1,106,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,1.791e-06,0.0,1.791e-06,1.791e-06,0.007127791,0.007127791,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-966-tcp,127.0.0.1,46688,127.0.0.1,966,tcp,1,58,58.0,0.0,58,58,3.209e-06,0.0,3.209e-06,3.209e-06,0.007131,0.007131,0.0,0,0,0,0,0,0,0,0
127.0.0.1-966-127.0.0.1-46688-tcp,127.0.0.1,966,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,2.333e-06,0.0,2.333e-06,2.333e-06,0.007133333,0.007133333,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-1683-tcp,127.0.0.1,46688,127.0.0.1,1683,tcp,1,58,58.0,0.0,58,58,3.792e-06,0.0,3.792e-06,3.792e-06,0.007137125,0.007137125,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1683-127.0.0.1-46688-tcp,127.0.0.1,1683,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,1.666e-06,0.0,1.666e-06,1.666e-06,0.007138791,0.007138791,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-1183-tcp,127.0.0.1,46688,127.0.0.1,1183,tcp,1,58,58.0,0.0,58,58,4.25e-06,0.0,4.25e-06,4.25e-06,0.007143041,0.007143041,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1183-127.0.0.1-46688-tcp,127.0.0.1,1183,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,1.709e-06,0.0,1.709e-06,1.709e-06,0.00714475,0.00714475,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-1431-tcp,127.0.0.1,46688,127.0.0.1,1431,tcp,1,58,58.0,0.0,58,58,3.25e-06,0.0,3.25e-06,3.25e-06,0.007148,0.007148,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1431-127.0.0.1-46688-tcp,127.0.0.1,1431,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,2.25e-06,0.0,2.25e-06,2.25e-06,0.00715025,0.00715025,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-1492-tcp,127.0.0.1,46688,127.0.0.1,1492,tcp,1,58,58.0,0.0,58,58,3.916e-06,0.0,3.916e-06,3.916e-06,0.007154166,0.007154166,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1492-127.0.0.1-46688-tcp,127.0.0.1,1492,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,1.625e-06,0.0,1.625e-06,1.625e-06,0.007155791,0.007155791,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-822-tcp,127.0.0.1,46688,127.0.0.1,822,tcp,1,58,58.0,0.0,58,58,3.584e-06,0.0,3.584e-06,3.584e-06,0.007159375,0.007159375,0.0,0,0,0,0,0,0,0,0
127.0.0.1-822-127.0.0.1-46688-tcp,127.0.0.1,822,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,1.625e-06,0.0,1.625e-06,1.625e-06,0.007161,0.007161,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-288-tcp,127.0.0.1,46688,127.0.0.1,288,tcp,1,58,58.0,0.0,58,58,3.333e-06,0.0,3.333e-06,3.333e-06,0.007164333,0.007164333,0.0,0,0,0,0,0,0,0,0
127.0.0.1-288-127.0.0.1-46688-tcp,127.0.0.1,288,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,2.125e-06,0.0,2.125e-06,2.125e-06,0.007166458,0.007166458,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-1607-tcp,127.0.0.1,46688,127.0.0.1,1607,tcp,1,58,58.0,0.0,58,58,3.75e-06,0.0,3.75e-06,3.75e-06,0.007170208,0.007170208,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1607-127.0.0.1-46688-tcp,127.0.0.1,1607,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,2.167e-06,0.0,2.167e-06,2.167e-06,0.007172375,0.007172375,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-61-tcp,127.0.0.1,46688,127.0.0.1,61,tcp,1,58,58.0,0.0,58,58,3.875e-06,0.0,3.875e-06,3.875e-06,0.00717625,0.00717625,0.0,0,0,0,0,0,0,0,0
127.0.0.1-61-127.0.0.1-46688-tcp,127.0.0.1,61,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,1.666e-06,0.0,1.666e-06,1.666e-06,0.007177916,0.007177916,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-1291-tcp,127.0.0.1,46688,127.0.0.1,1291,tcp,1,58,58.0,0.0,58,58,3.375e-06,0.0,3.375e-06,3.375e-06,0.007181291,0.007181291,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1291-127.0.0.1-46688-tcp,127.0.0.1,1291,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,1.542e-06,0.0,1.542e-06,1.542e-06,0.007182833,0.007182833,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-1709-tcp,127.0.0.1,46688,127.0.0.1,1709,tcp,1,58,58.0,0.0,58,58,0.000155833,0.0,0.000155833,0.000155833,0.007338666,0.007338666,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1709-127.0.0.1-46688-tcp,127.0.0.1,1709,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,2e-06,0.0,2e-06,2e-06,0.007340666,0.007340666,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-434-tcp,127.0.0.1,46688,127.0.0.1,434,tcp,1,58,58.0,0.0,58,58,3.917e-06,0.0,3.917e-06,3.917e-06,0.007344583,0.007344583,0.0,0,0,0,0,0,0,0,0
127.0.0.1-434-127.0.0.1-46688-tcp,127.0.0.1,434,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,1.708e-06,0.0,1.708e-06,1.708e-06,0.007346291,0.007346291,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-440-tcp,127.0.0.1,46688,127.0.0.1,440,tcp,1,58,58.0,0.0,58,58,4.709e-06,0.0,4.709e-06,4.709e-06,0.007351,0.007351,0.0,0,0,0,0,0,0,0,0
127.0.0.1-440-127.0.0.1-46688-tcp,127.0.0.1,440,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,2.708e-06,0.0,2.708e-06,2.708e-06,0.007353708,0.007353708,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-1630-tcp,127.0.0.1,46688,127.0.0.1,1630,tcp,1,58,58.0,0.0,58,58,4.792e-06,0.0,4.792e-06,4.792e-06,0.0073585,0.0073585,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1630-127.0.0.1-46688-tcp,127.0.0.1,1630,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,1.666e-06,0.0,1.666e-06,1.666e-06,0.007360166,0.007360166,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-1050-tcp,127.0.0.1,46688,127.0.0.1,1050,tcp,1,58,58.0,0.0,58,58,4.292e-06,0.0,4.292e-06,4.292e-06,0.007364458,0.007364458,0.0,0,0,0,0,0,0,0,0
