flow_id,src_ip,src_port,dst_ip,dst_port,protocol,packet_count,bytes_total,bytes_mean,bytes_std,bytes_min,bytes_max,iat_mean,iat_std,iat_min,iat_max,first_seen,last_seen,duration,tcp_fin_count,tcp_syn_count,tcp_rst_count,tcp_psh_count,tcp_ack_count,tcp_urg_count,tcp_ece_count,tcp_cwr_count
127.0.0.1-1168-127.0.0.1-41003-tcp,127.0.0.1,1168,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,1.417e-06,0.0,1.417e-06,1.417e-06,0.004018079,0.004018079,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-90-tcp,127.0.0.1,41003,127.0.0.1,90,tcp,1,58,58.0,0.0,58,58,2.958e-06,0.0,2.958e-06,2.958e-06,0.004021037,0.004021037,0.0,0,0,0,0,0,0,0,0
127.0.0.1-90-127.0.0.1-41003-tcp,127.0.0.1,90,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,1.375e-06,0.0,1.375e-06,1.375e-06,0.004022412,0.004022412,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-1422-tcp,127.0.0.1,41003,127.0.0.1,1422,tcp,1,58,58.0,0.0,58,58,3.625e-06,0.0,3.625e-06,3.625e-06,0.004026037,0.004026037,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1422-127.0.0.1-41003-tcp,127.0.0.1,1422,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,2.042e-06,0.0,2.042e-06,2.042e-06,0.004028079,0.004028079,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-1530-tcp,127.0.0.1,41003,127.0.0.1,1530,tcp,1,58,58.0,0.0,58,58,3.375e-06,0.0,3.375e-06,3.375e-06,0.004031454,0.004031454,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1530-127.0.0.1-41003-tcp,127.0.0.1,1530,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,1.458e-06,0.0,1.458e-06,1.458e-06,0.004032912,0.004032912,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-548-tcp,127.0.0.1,41003,127.0.0.1,548,tcp,1,58,58.0,0.0,58,58,3.875e-06,0.0,3.875e-06,3.875e-06,0.004036787,0.004036787,0.0,0,0,0,0,0,0,0,0
127.0.0.1-548-127.0.0.1-41003-tcp,127.0.0.1,548,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,1.416e-06,0.0,1.416e-06,1.416e-06,0.004038203,0.004038203,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-1828-tcp,127.0.0.1,41003,127.0.0.1,1828,tcp,1,58,58.0,0.0,58,58,3.25e-06,0.0,3.25e-06,3.25e-06,0.004041453,0.004041453,0.0,0,0,0,0,0,0,0,0
