frame.time_relative,frame.time_delta,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.stream,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset
0.001969082,0.000001417,54,127.0.0.1,127.0.0.1,1790,41003,0,99,1,1,False,True,False,True
0.001971873,0.000002791,58,127.0.0.1,127.0.0.1,41003,611,0,100,0,0,True,False,False,False
0.001973290,0.000001417,54,127.0.0.1,127.0.0.1,611,41003,0,100,1,1,False,True,False,True
0.001976332,0.000003042,58,127.0.0.1,127.0.0.1,41003,413,0,101,0,0,True,False,False,False
0.001977832,0.000001500,54,127.0.0.1,127.0.0.1,413,41003,0,101,1,1,False,True,False,True
0.001980790,0.000002958,58,127.0.0.1,127.0.0.1,41003,1404,0,102,0,0,True,False,False,False
0.001982415,0.000001625,54,127.0.0.1,127.0.0.1,1404,41003,0,102,1,1,False,True,False,True
0.002222785,0.000240370,58,127.0.0.1,127.0.0.1,41003,527,0,103,0,0,True,False,False,False
0.002226535,0.000003750,54,127.0.0.1,127.0.0.1,527,41003,0,103,1,1,False,True,False,True
0.002233618,0.000007083,58,127.0.0.1,127.0.0.1,41003,782,0,104,0,0,True,False,False,False
0.002235368,0.000001750,54,127.0.0.1,127.0.0.1,782,41003,0,104,1,1,False,True,False,True
0.002238868,0.000003500,58,127.0.0.1,127.0.0.1,41003,1526,0,105,0,0,True,False,False,False
0.002240451,0.000001583,54,127.0.0.1,127.0.0.1,1526,41003,0,105,1,1,False,True,False,True
0.002243326,0.000002875,58,127.0.0.1,127.0.0.1,41003,403,0,106,0,0,True,False,False,False
0.002244909,0.000001583,54,127.0.0.1,127.0.0.1,403,41003,0,106,1,1,False,True,False,True
0.002247867,0.000002958,58,127.0.0.1,127.0.0.1,41003,1591,0,107,0,0,True,False,False,False
0.002249534,0.000001667,54,127.0.0.1,127.0.0.1,1591,41003,0,107,1,1,False,True,False,True
0.002252701,0.000003167,58,127.0.0.1,127.0.0.1,41003,1139,0,108,0,0,True,False,False,False
0.002254201,0.000001500,54,127.0.0.1,127.0.0.1,1139,41003,0,108,1,1,False,True,False,True
0.002257034,0.000002833,58,127.0.0.1,127.0.0.1,41003,49,0,109,0,0,True,False,False,False
0.002258534,0.000001500,54,127.0.0.1,127.0.0.1,49,41003,0,109,1,1,False,True,False,True
0.002261825,0.000003291,58,127.0.0.1,127.0.0.1,41003,114,0,110,0,0,True,False,False,False
0.002263409,0.000001584,54,127.0.0.1,127.0.0.1,114,41003,0,110,1,1,False,True,False,True
0.002266867,0.000003458,58,127.0.0.1,127.0.0.1,41003,1822,0,111,0,0,True,False,False,False
0.002268284,0.000001417,54,127.0.0.1,127.0.0.1,1822,41003,0,111,1,1,False,True,False,True
0.002271117,0.000002833,58,127.0.0.1,127.0.0.1,41003,1888,0,112,0,0,True,False,False,False
0.002272659,0.000001542,54,127.0.0.1,127.0.0.1,1888,41003,0,112,1,1,False,True,False,True
0.002275658,0.000002999,58,127.0.0.1,127.0.0.1,41003,786,0,113,0,0,True,False,False,False
0.002277158,0.000001500,54,127.0.0.1,127.0.0.1,786,41003,0,113,1,1,False,True,False,True
0.002280408,0.000003250,58,127.0.0.1,127.0.0.1,41003,1629,0,114,0,0,True,False,False,False
0.002281867,0.000001459,54,127.0.0.1,127.0.0.1,1629,41003,0,114,1,1,False,True,False,True
0.002284575,0.000002708,58,127.0.0.1,127.0.0.1,41003,91,0,115,0,0,True,False,False,False
0.002285950,0.000001375,54,127.0.0.1,127.0.0.1,91,41003,0,115,1,1,False,True,False,True
0.002288950,0.000003000,58,127.0.0.1,127.0.0.1,41003,1012,0,116,0,0,True,False,False,False
